,text,username,timestamp,message_id,channel_id,stream_id,unique_id,category,sentiment_a,sentiment_g,sentiment_v,sentiment_anders
50,whew,dewdflower,"2022-06-09 16:04:23,260",51,A,1,51A1,,0,1,,
51,FUCKING CLUTCH ULT,pr11me_,"2022-06-09 16:04:24,797",52,A,1,52A1,,1,1,,
52,damn that ult was sick!,jurassic_minions,"2022-06-09 16:04:32,371",53,A,1,53A1,,1,1,,
53,cloakPop,elementalvice,"2022-06-09 16:04:34,525",54,A,1,54A1,,1,1,,
54,monkaS nymnCorn,synicaiiy,"2022-06-09 16:04:39,440",55,A,1,55A1,,-1,1,,
55,his ult do jiggle jiggle,defnotzak,"2022-06-09 16:04:40,260",56,A,1,56A1,,1,0,,
56,yo this game looks lit,supatec,"2022-06-09 16:04:44,867",57,A,1,57A1,,1,1,,
57,!uptime,zpock9,"2022-06-09 16:04:48,141",58,A,1,58A1,,N/A,1,,
58,Cloak has been live for 5 hours 25 minutes 58 seconds,nightbot,"2022-06-09 16:04:48,601",59,A,1,59A1,,N/A,0,,
59,EZ=z masters here,plentybadapples,"2022-06-09 16:04:49,027",60,A,1,60A1,,1,1,,
60,LOLOLOL,tjgruehs,"2022-06-09 16:04:56,848",61,A,1,61A1,,1,1,,
61,MOVE,tjgruehs,"2022-06-09 16:04:58,896",62,A,1,62A1,,0,1,,
62,and that is why ash is pog,cubsfan94,"2022-06-09 16:05:00,228",63,A,1,63A1,,1,1,,
63,lol wtf did i type,plentybadapples,"2022-06-09 16:05:06,372",64,A,1,64A1,,0,-1,,
64,ez win,plentybadapples,"2022-06-09 16:05:13,745",65,A,1,65A1,,1,1,,
65,nice ammo,ayztin,"2022-06-09 16:05:16,199",66,A,1,66A1,,1,1,,
66,mag dumped Gent lol,defnotzak,"2022-06-09 16:05:20,197",67,A,1,67A1,,1,0,,
67,EZ=z masters here,the_rabid_weasel,"2022-06-09 16:05:27,569",68,A,1,68A1,,1,1,,
68,I almost screamed when you looked at the ammo and looked away,dancswithwolv3s,"2022-06-09 16:05:39,447",69,A,1,69A1,,0,0,,
69,@DANCSwithWOLV3S fkn same,sikladjaeden,"2022-06-09 16:05:57,236",70,A,1,70A1,,0,1,,
70,"lol im braindead, dont rub it in",plentybadapples,"2022-06-09 16:05:57,675",71,A,1,71A1,,-1,-1,,
71,gonna get masters this game,theharmones,"2022-06-09 16:06:21,534",72,A,1,72A1,,1,1,,
72,EZ=z masters here,defnotzak,"2022-06-09 16:06:29,558",73,A,1,73A1,,1,1,,
73,same zone like in the algs finals,bavshooter,"2022-06-09 16:06:43,346",74,A,1,74A1,,0,0,,
74,ooo a heat shield beam then port?,oghellvis,"2022-06-09 16:06:46,415",75,A,1,75A1,,0,1,,
75,EZ=z masters here NODDERS,jokkerbo,"2022-06-09 16:06:58,037",76,A,1,76A1,,1,1,,
76,Ayoooooo what’s up good morning,zedexi,"2022-06-09 16:07:02,854",77,A,1,77A1,,1,1,,
77,!rp,jokkerbo,"2022-06-09 16:07:08,810",78,A,1,78A1,,N/A,0,,
78,"= RP Stats = | Current Amount: 14,956 RP || 323 RP has been gained this session. | [Updated 0 secs  ago] (- Powered by TwitchApexStats.com -)",nightbot,"2022-06-09 16:07:09,012",79,A,1,79A1,,N/A,0,,
79,I was right though,plentybadapples,"2022-06-09 16:07:20,211",80,A,1,80A1,,1,1,,
80,EZ,plentybadapples,"2022-06-09 16:07:24,509",81,A,1,81A1,,1,1,,
81,thank you jamiller22 for the sub! sorry I just saw this,bearded_bruce_willis,"2022-06-09 16:07:36,697",82,A,1,82A1,,1,1,,
82,Chat are we Vibin,zedexi,"2022-06-09 16:07:50,402",83,A,1,83A1,,1,1,,
83,got masters PogChamping,silentcarnivore,"2022-06-09 16:07:50,750",84,A,1,84A1,,1,1,,
84,masters tho,jokkerbo,"2022-06-09 16:07:51,341",85,A,1,85A1,,1,1,,
85,@handwraps_ dick reduction,the_rabid_weasel,"2022-06-09 16:09:46,915",86,A,1,86A1,,0,0,,
86,no pred no bad,defnotzak,"2022-06-09 16:09:55,107",87,A,1,87A1,,0,1,,
87,1400 rp to go,gao_09,"2022-06-09 16:09:59,753",88,A,1,88A1,,0,1,,
88,no predge no bedge,jaybee_345,"2022-06-09 16:10:09,787",89,A,1,89A1,,0,1,,
89,Without that nasty mastiff clutch yesterday you would be D1 still,plentybadapples,"2022-06-09 16:10:12,593",90,A,1,90A1,,1,0,,
90,@the_rabid_weasel I thought he already donated the 12 inches last year.,handwraps_,"2022-06-09 16:10:21,666",91,A,1,91A1,,0,0,,
91,cloakSub cloakWith cloakPrime,sneakybenii,"2022-06-09 16:10:31,398",92,A,1,92A1,,0,1,,
92,cloakTFUE cloakTFUE cloakTFUE,quinnpainter77,"2022-06-09 16:10:37,640",93,A,1,93A1,,0,1,,
93,@handwraps_ still too massive. must be hard. thoughts and prayers.,the_rabid_weasel,"2022-06-09 16:10:42,453",94,A,1,94A1,,0,0,,
94,Set the tone for today,plentybadapples,"2022-06-09 16:10:54,946",95,A,1,95A1,,0,0,,
95,Always hard for sure @the_rabid_weasel,handwraps_,"2022-06-09 16:11:03,957",96,A,1,96A1,,0,0,,
96,grab purple heavy mag?,exscyde,"2022-06-09 16:11:03,993",97,A,1,97A1,,0,1,,
97,PURP  mag up there,pr11me_,"2022-06-09 16:11:06,313",98,A,1,98A1,,0,1,,
98,Purple heavy mag in building you landed in,cowboycalhoun69,"2022-06-09 16:11:20,646",99,A,1,99A1,,0,1,,
99,@plentybadapples ong that clutch was nasty,oghellvis,"2022-06-09 16:12:14,512",100,A,1,100A1,,1,1,,
100,here we go the good all demo protections,dsaley316,"2022-06-09 16:12:19,017",101,A,1,101A1,,1,1,,
101,!pred,redgu4rd,"2022-06-09 16:12:20,656",102,A,1,102A1,,N/A,0,,
102,"Pred is currently at around 16,450 RP - ApexRanked.com",nightbot,"2022-06-09 16:12:21,220",103,A,1,103A1,,N/A,0,,
103,clock,fxnjagerbomber,"2022-06-09 16:12:22,750",104,A,1,104A1,,0,0,,
104,ApexChat,nobrain0ctane,"2022-06-09 16:12:27,516",105,A,1,105A1,,0,0,,
105,u sexy tho,haffen96,"2022-06-09 16:12:28,643",106,A,1,106A1,,1,1,,
106,lol yelling purp heavy when he has a 3030,sneakybenii,"2022-06-09 16:12:32,555",107,A,1,107A1,,1,1,,
107,100% no,exscyde,"2022-06-09 16:12:36,494",108,A,1,108A1,,0,0,,
108,wingman should be a care pack weapon fr,xxtykuhnxx,"2022-06-09 16:12:36,615",109,A,1,109A1,,0,0,,
109,woulda won that with the purple mag 100 percent,barepoint,"2022-06-09 16:12:38,179",110,A,1,110A1,,1,1,,
110,"But did you grab the red rocket? No. And that's why you lost.
""
",the_rabid_weasel,"2022-06-09 16:12:38,242",111,A,1,111A1,,-1,-1,,
111,Didn’t like that lobby anyway yaknow what I mean needed a reset,zedexi,"2022-06-09 16:12:38,528",112,A,1,112A1,,-1,0,,
112,lol absolutely....NOT LMAO,gna5tywiddit,"2022-06-09 16:12:38,679",113,A,1,113A1,,-1,0,,
113,yes :),gdtzar,"2022-06-09 16:12:40,865",114,A,1,114A1,,1,1,,
114,i think you did great there,fxnjagerbomber,"2022-06-09 16:12:41,751",115,A,1,115A1,,1,1,,
115,!pred,colonel_stones,"2022-06-09 16:12:43,799",116,A,1,116A1,,N/A,0,,
116,Yes,handwraps_,"2022-06-09 16:12:45,200",117,A,1,117A1,,1,1,,
117,YEP,redgu4rd,"2022-06-09 16:12:46,051",118,A,1,118A1,,1,1,,
118,Of course,handwraps_,"2022-06-09 16:12:50,449",119,A,1,119A1,,1,1,,
119,Just helping man,cowboycalhoun69,"2022-06-09 16:12:51,785",120,A,1,120A1,,1,1,,
120,YES POGGERS,pr11me_,"2022-06-09 16:12:55,023",121,A,1,121A1,,1,1,,
121,KEKW,pr11me_,"2022-06-09 16:13:04,585",122,A,1,122A1,,1,1,,
122,3/3 oh no,hewheff,"2022-06-09 16:13:04,621",123,A,1,123A1,,0,-1,,
123,@cloakzy the reason you lost is bc you didnt grab the blue sniper stock for the 3030,blades1337,"2022-06-09 16:13:04,621",124,A,1,124A1,,1,-1,,
124,Go back to Ash,handwraps_,"2022-06-09 16:13:04,621",125,A,1,125A1,,1,-1,,
125,ApexChat durrrrr,kingsmang710,"2022-06-09 16:13:05,098",126,A,1,126A1,,-1,-1,,
126,hi,xaddygames,"2022-06-09 16:13:05,825",127,A,1,127A1,,0,1,,
127,cloakPotato cloakPotato cloakPotato,quinnpainter77,"2022-06-09 16:13:06,942",128,A,1,128A1,,0,1,,
128,you got pooped on on the roof LUL,fourautumnleaf,"2022-06-09 16:13:08,381",129,A,1,129A1,,-1,-1,,
129,Maybe a little Drypto,handwraps_,"2022-06-09 16:13:12,428",130,A,1,130A1,,0,0,,
130,thats how its been,hewheff,"2022-06-09 16:13:15,442",131,A,1,131A1,,0,0,,
131,cloakTFUE cloakPotato cloak20,quinnpainter77,"2022-06-09 16:13:18,923",132,A,1,132A1,,0,1,,
132,pred!,colonel_stones,"2022-06-09 16:13:20,757",133,A,1,133A1,,N/A,0,,
133,@kingsmang710 still no where near as bad as fortnut  chat,barepoint,"2022-06-09 16:13:29,675",134,A,1,134A1,,-1,-1,,
134,how many days are you staying in the hospital for the surgery?,i7amanyq8,"2022-06-09 16:13:30,419",135,A,1,135A1,,0,0,,
135,nick got dumped on too,fxnjagerbomber,"2022-06-09 16:13:35,204",136,A,1,136A1,,0,-1,,
136,Chat we feelin Drypto Clock or nah right now? 🧐,handwraps_,"2022-06-09 16:13:43,602",137,A,1,137A1,,0,0,,
137,ApexChat,fxnjagerbomber,"2022-06-09 16:13:49,438",138,A,1,138A1,,0,0,,
138,ye is da goat no cap,conduktoflex,"2022-06-09 16:13:55,685",139,A,1,139A1,,1,0,,
139,"Anyone else call the Wingman, Wingstop? Or is it just me because I'm a fatass..
""
",bonskie_,"2022-06-09 16:14:15,960",140,A,1,140A1,,-1,0,,
140,masters!,jasonly,"2022-06-09 16:14:17,292",141,A,1,141A1,,1,1,,
141,whatca eating,hewheff,"2022-06-09 16:14:17,907",142,A,1,142A1,,0,0,,
142,IRL stream KEKW,fxnjagerbomber,"2022-06-09 16:14:31,643",143,A,1,143A1,,0,1,,
143,buy a steamdeck so you can play in the hospital,oghellvis,"2022-06-09 16:14:35,211",144,A,1,144A1,,0,0,,
144,cloakSpin cloakSpin cloakSpin,anthonyberg12,"2022-06-09 16:14:44,781",145,A,1,145A1,,0,1,,
145,Surgery stream monksS,redgu4rd,"2022-06-09 16:14:45,979",146,A,1,146A1,,-1,0,,
146,you should do a fishing steam with Turner one day,barepoint,"2022-06-09 16:14:48,285",147,A,1,147A1,,0,1,,
147,i missed it. when is the surgeyr,problymfm,"2022-06-09 16:14:53,026",148,A,1,148A1,,0,0,,
148,glad to see you are feeling somewhat better Clocky,minercruz,"2022-06-09 16:15:00,879",149,A,1,149A1,,0,1,,
149,cloakWave cloakWave cloakWave cloakWave cloakWave,anthonyberg12,"2022-06-09 16:15:05,420",150,A,1,150A1,,0,1,,
150,NonbinaryPride,noryager666,"2022-06-09 16:15:20,066",151,A,1,151A1,,0,1,,
151,Missed the streams but health is number 1,minercruz,"2022-06-09 16:15:26,776",152,A,1,152A1,,0,1,,
152,cool lightsaber in the corner bro,b_henz,"2022-06-09 16:15:29,177",153,A,1,153A1,,1,1,,
153,cloakPotato cloakPotato cloakPotato,quinnpainter77,"2022-06-09 16:15:42,019",154,A,1,154A1,,0,1,,
154,Love this song,noryager666,"2022-06-09 16:15:45,152",155,A,1,155A1,,1,1,,
155,😭,noryager666,"2022-06-09 16:15:50,579",156,A,1,156A1,,0,0,,
156,cloakPotato cloakPotato cloakPotato cloakPotato cloakPotato cloakPotato cloakPotato cloakPotato cloakPotato cloakPotato cloakPotato cloakPotato cloakPotato cloakPotato cloakPotato cloakPotato cloakPotato cloakPotato cloakPotato cloakPotato,quinnpainter77,"2022-06-09 16:15:55,699",157,A,1,157A1,,0,1,,
157,modCheck wadder,nobrain0ctane,"2022-06-09 16:16:01,843",158,A,1,158A1,,-1,0,,
158,Wuddur,zedexi,"2022-06-09 16:16:02,458",159,A,1,159A1,,0,0,,
159,goCloak,shelbyleighhh,"2022-06-09 16:16:06,104",160,A,1,160A1,,0,1,,
160,wooder,andresbol1,"2022-06-09 16:16:06,180",161,A,1,161A1,,0,0,,
161,Go drink your wudda,bossmann98,"2022-06-09 16:16:19,968",162,A,1,162A1,,1,-1,,
162,LFG,jnyce9,"2022-06-09 16:16:23,353",163,A,1,163A1,,1,1,,
163,wudder,pr11me_,"2022-06-09 16:16:41,386",164,A,1,164A1,,0,0,,
164,farm spiders?,exscyde,"2022-06-09 16:16:54,170",165,A,1,165A1,,0,0,,
165,purpleshieldupmnfer,b_henz,"2022-06-09 16:17:05,640",166,A,1,166A1,,0,0,,
166,Do wingading,zedexi,"2022-06-09 16:17:16,699",167,A,1,167A1,,0,0,,
167,Watching him play apex looks so fun and easy but when I play I get bodied before the first circle 😔,carly13,"2022-06-09 16:17:48,750",168,A,1,168A1,,1,0,,
168,!wingman,sheeeeshhhh,"2022-06-09 16:17:51,515",169,A,1,169A1,,N/A,0,,
169,cloak has missed 768 wingman shots,nightbot,"2022-06-09 16:17:52,335",170,A,1,170A1,,-1,0,,
170,below,pr11me_,"2022-06-09 16:18:35,342",171,A,1,171A1,,0,0,,
171,up,chiefpatsalbinonuts,"2022-06-09 16:19:07,907",172,A,1,172A1,,0,0,,
172,!monitor,just_truitt,"2022-06-09 16:19:34,060",173,A,1,173A1,,N/A,0,,
173,ASUS TUF Gaming VG259QM  https://www.amazon.com/ASUS-VG279QM-Compatible-DisplayHDR-DisplayPort/dp/B0876KP2CK/,nightbot,"2022-06-09 16:19:34,376",174,A,1,174A1,,N/A,0,,
174,Pause,mrsneezydelux,"2022-06-09 16:24:03,848",175,A,1,175A1,,0,0,,
175,monkaEyes,tobyduck,"2022-06-09 16:24:04,462",176,A,1,176A1,,0,0,,
176,look at that eye LUL,deathandtaxes7,"2022-06-09 16:24:07,534",177,A,1,177A1,,-1,1,,
177,cloakPotato cloakPotato cloakPotato cloakTFUE cloakTFUE cloakTFUE cloak20 cloak20 cloak20,quinnpainter77,"2022-06-09 16:24:52,076",178,A,1,178A1,,0,1,,
178,cloakPotato cloakPotato cloakPotato,quinnpainter77,"2022-06-09 16:25:01,190",179,A,1,179A1,,0,1,,
179,this gun combo is ass peepoRun,lil_esty,"2022-06-09 16:25:36,201",180,A,1,180A1,,-1,-1,,
180,@lil_esty LUL LUL LUL,shaggeeyy,"2022-06-09 16:26:52,195",181,A,1,181A1,,-1,1,,
181,EZ Clap,silentcarnivore,"2022-06-09 16:27:27,304",182,A,1,182A1,,1,1,,
182,THAT FEAR,jonlevir,"2022-06-10 08:08:17,236",1,B,1,1B1,,0,,,
183,Hai PoisonmMom!,jonlevir,"2022-06-10 08:08:40,504",2,B,1,2B1,,0,,,
184,dippedinDEAD dippedinDEAD dippedinDEAD dippedinDEAD dippedinDEAD dippedinDEAD dippedinDEAD dippedinDEAD dippedinDEAD dippedinDEAD dippedinDEAD dippedinDEAD,nysnarkexchange,"2022-06-10 08:08:41,697",3,B,1,3B1,,0,,,
185,HAIII,whoinvitedjez,"2022-06-10 08:08:45,305",4,B,1,4B1,,1,,,
186,HAI MOMMA POISON!!!!! And Hai @emerald__arrows !!!!,sparrocat,"2022-06-10 08:08:45,380",5,B,1,5B1,,1,,,
187,hi mom :),jesx,"2022-06-10 08:08:45,764",6,B,1,6B1,,1,,,
188,hi PoisonMom,baysidetaco,"2022-06-10 08:08:46,841",7,B,1,7B1,,1,,,
189,hi ma,nysnarkexchange,"2022-06-10 08:08:47,063",8,B,1,8B1,,1,,,
190,LUL,kellytheslayer,"2022-06-10 08:08:49,145",9,B,1,9B1,,1,,,
191,LUL,amethystmoon101,"2022-06-10 08:08:53,840",10,B,1,10B1,,1,,,
192,the wholesome switch for mama poison is so cute,esnueil,"2022-06-10 08:08:53,880",11,B,1,11B1,,1,,,
193,what was the ghost dragon sperm pokemon again @dippedinpoison ?,freebah,"2022-06-10 08:08:53,919",12,B,1,12B1,,0,,,
194,Hey Mom :),craig_johno,"2022-06-10 08:08:53,998",13,B,1,13B1,,1,,,
195,"aahhh it's huge
""
",kaybruh,"2022-06-10 08:08:55,923",14,B,1,14B1,,1,,,
196,HI MOM,dryydenn,"2022-06-10 08:08:57,749",15,B,1,15B1,,1,,,
197,poison??? inappropriate?? never,commanderluthor,"2022-06-10 08:09:04,045",16,B,1,16B1,,0,,,
198,everyone act natural! pixiie2Sip,pixiierin,"2022-06-10 08:09:04,318",17,B,1,17B1,,1,,,
199,Hello Auntie!!!!,si3dprinting,"2022-06-10 08:09:05,139",18,B,1,18B1,,1,,,
200,holy,kellytheslayer,"2022-06-10 08:09:05,843",19,B,1,19B1,,1,,,
201,Hey mooom,drachenwaffles,"2022-06-10 08:09:06,367",20,B,1,20B1,,1,,,
202,@Freebah whaa,frolicchris,"2022-06-10 08:09:07,520",21,B,1,21B1,,0,,,
203,"OK here I go ""HI Babyyyyy""",emerald__arrows,"2022-06-10 08:09:09,199",22,B,1,22B1,,1,,,
204,dippedinLOVE dippedinLOVE dippedinLOVE dippedinLOVE,boss_churros,"2022-06-10 08:09:11,722",23,B,1,23B1,,1,,,
205,PrideLionHey PrideLionChomp PrideLionHey PrideLionChomp PrideLionHey PrideLionChomp PrideLionHey PrideLionChomp,cmorrigu,"2022-06-10 08:09:13,594",24,B,1,24B1,,1,,,
206,Precious,amethystmoon101,"2022-06-10 08:09:16,304",25,B,1,25B1,,1,,,
207,"You weren't kidding when you said that it's giant
""
",carlos_sferreira,"2022-06-10 08:09:17,113",26,B,1,26B1,,0,,,
208,@freebah Dreepy,sparrocat,"2022-06-10 08:09:18,392",27,B,1,27B1,,0,,,
209,Awww you’re so cute lol. Like a kid showing off a new achievement to their parent,cosmicflames27,"2022-06-10 08:09:19,400",28,B,1,28B1,,1,,,
210,"So how's the maternity leave going? LUL dippedinGIBFLOWER
""
",iridescentr0se,"2022-06-10 08:09:21,735",29,B,1,29B1,,1,,,
211,"@Esnueil What do you mean? Everyone here is always wholesome, including MJ",theharmpo,"2022-06-10 08:09:24,416",30,B,1,30B1,,1,,,
212,"""OMG, you needed one more thing""",emerald__arrows,"2022-06-10 08:09:25,485",31,B,1,31B1,,0,,,
213,MUUUUUMMMM,trash_panda_g,"2022-06-10 08:09:27,474",32,B,1,32B1,,1,,,
214,i steal,gamergirl_5h,"2022-06-10 08:09:30,606",33,B,1,33B1,,0,,,
215,dippedinHI,lucifer4431,"2022-06-10 08:09:31,657",34,B,1,34B1,,1,,,
216,@TheHarmpo exactly!!!,esnueil,"2022-06-10 08:09:31,851",35,B,1,35B1,,0,,,
217,proud to be a devil worshiper huh what a clown,xx_jimjim_xx,"2022-06-10 08:09:32,145",36,B,1,36B1,,-1,,,
218,"I'm the quiji board.
""
",emerald__arrows,"2022-06-10 08:09:32,483",37,B,1,37B1,,0,,,
219,SeemsGood LUL,fr0z3nfury009,"2022-06-10 08:09:33,026",38,B,1,38B1,,1,,,
220,ROFL,jonlevir,"2022-06-10 08:09:33,130",39,B,1,39B1,,1,,,
221,also hi HARM!!!,esnueil,"2022-06-10 08:09:38,820",40,B,1,40B1,,1,,,
222,we love giant baby,fisheeprice,"2022-06-10 08:09:38,866",41,B,1,41B1,,1,,,
223,HARMMM hi harm 💕,divdoesthings,"2022-06-10 08:09:39,895",42,B,1,42B1,,1,,,
224,@TheHarmpo hewwooooo,amethystmoon101,"2022-06-10 08:09:41,646",43,B,1,43B1,,1,,,
225,YOU ARE AN ENTIRE FUCKING VIBE HOLY FUCK,rararlo,"2022-06-10 08:09:41,967",44,B,1,44B1,,1,,,
226,HAHAHAHAHAHAHAHHAHAA,lenoxfilms,"2022-06-10 08:09:43,533",45,B,1,45B1,,1,,,
227,dippedinHI dippedinHI dippedinHI dippedinHI,simp4hxh,"2022-06-10 08:09:44,144",46,B,1,46B1,,1,,,
228,LUL dippedinLOL,boss_churros,"2022-06-10 08:09:45,226",47,B,1,47B1,,1,,,
229,she keeps using your government name,emerald__arrows,"2022-06-10 08:09:50,040",48,B,1,48B1,,1,,,
230,lol,emerald__arrows,"2022-06-10 08:09:52,281",49,B,1,49B1,,1,,,
231,hiiii mom,skullyinks,"2022-06-10 08:09:52,796",50,B,1,50B1,,1,,,
232,!ptm,huf_is_here,"2022-06-10 08:09:53,181",51,B,1,51B1,,0,,,
233,PETTHEMODS PETTHEMODS PETTHEMODS,streamelements,"2022-06-10 08:09:53,422",52,B,1,52B1,,1,,,
234,Proud of ya Black Cherry Chut.,bigjohnbriggs,"2022-06-10 08:09:55,287",53,B,1,53B1,,1,,,
235,Your pretty,anryking,"2022-06-10 08:10:06,151",54,B,1,54B1,,1,,,
236,Government name?,carlos_sferreira,"2022-06-10 08:10:06,903",55,B,1,55B1,,0,,,
237,she thought you could hear her screaming your name 🤣,emerald__arrows,"2022-06-10 08:10:12,890",56,B,1,56B1,,1,,,
238,@divdoesthings @amethystmoon101 Hi hi hi <3,theharmpo,"2022-06-10 08:10:15,483",57,B,1,57B1,,1,,,
239,"you're* @anryking
""
",jonlevir,"2022-06-10 08:10:16,921",58,B,1,58B1,,-1,,,
